id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
02-Jan-2021_RYR2141,departure,8.533333333333333,10,10,02,1324.6344711686825,534.6166240132011,0,1062.391793649275,88.9090138822,0,1235.7254572864824,23R/05L,1,0,2,0,1,0,0,0,2,0,0
03-Jan-2021_RYR2141,departure,8.883333333333333,06,06,03,2279.257875222441,457.1362769419761,0,2134.559009072841,91.6845157884,1014.0460966443912,1173.5272627896497,23R/05L,1,0,3,0,0,0,0,0,2,0,0
04-Jan-2021_RYR2141,departure,12.416666666666666,07,08,04,2279.257875222441,457.1362769419761,0,2134.559009072841,91.6845157884,1014.0460966443912,1173.5272627896497,23R/05L,1,0,10,2,1,0,0,3,3,0,0
08-Jan-2021_RYR2141,departure,9.283333333333333,16,16,08,1645.1395829342337,370.43556558438456,0,1424.0029245730616,88.9090138822,0,1556.2305690520336,23R/05L,1,0,3,1,2,0,0,3,0,0,0
10-Jan-2021_RYR2141,departure,11.616666666666667,06,06,10,1661.6606122518906,315.9675899809486,0,1387.2043563481748,86.2988381711,891.6137929142803,683.7479811665103,23R/05L,1,0,3,2,0,0,0,2,0,0,0
02-Jan-2021_SWR35Q,departure,74.41666666666667,10,12,02,3055.4510695533954,691.250977908505,0,2408.995671551268,107.541906653,793.0457372249411,2154.8634256754544,23R/05L,1,0,2,3,8,0,0,0,2,0,0
02-Jan-2021_THY3LX,departure,10.866666666666667,10,11,02,2423.5321689243938,642.2588321981123,0,1971.2397747930045,103.676652407,974.8760264943767,1344.9794900230172,23R/05L,1,0,4,0,2,0,0,1,2,0,0
04-Jan-2021_THY3LX,departure,15.05,11,11,04,2986.042278002118,693.8927181979645,0,2830.5556440484934,101.049188081,1014.0460966443912,1870.946993276727,23R/05L,1,0,5,1,0,0,0,1,1,0,0
09-Jan-2021_THY3LX,departure,16.55,11,11,09,3328.6137353050244,726.7033497339064,0,2697.1254526851026,107.541906653,974.8760264943767,2246.195802157648,23R/05L,1,0,3,1,1,0,0,3,0,0,0
11-Jan-2021_THY3LX,departure,29.616666666666667,11,11,11,2789.1535977374883,729.4663926335668,0,2538.2084855394023,90.959777885,974.8760264943767,1723.3177933581119,23R/05L,1,0,5,2,2,0,0,1,2,0,0
16-Jan-2021_THY3LX,departure,35.78333333333333,11,12,16,2776.296264053823,646.789314246167,0,2354.344678900768,101.049188081,793.0457372249411,1882.201338747882,23R/05L,1,0,7,2,3,0,0,2,2,0,0
18-Jan-2021_THY3LX,departure,12.683333333333334,16,16,18,2230.1687438627646,605.0649398442156,0,1628.497746754769,104.571349969,793.0457372249411,1332.5516566688234,23R/05L,1,0,5,0,1,0,0,1,2,0,0
23-Jan-2021_THY3LX,departure,12.716666666666667,12,13,23,2423.5321689243938,642.2588321981123,0,1971.2397747930045,103.676652407,974.8760264943767,1344.9794900230172,23R/05L,1,0,8,1,0,0,0,4,3,0,0
30-Jan-2021_THY3LX,departure,11.516666666666667,11,11,30,2618.2090350906237,605.7115292198049,0,2248.3306041345413,104.571349969,1014.0460966443912,1499.5915884772326,23R/05L,1,0,5,0,1,0,0,2,3,0,0
01-Feb-2021_THY3LX,departure,33.983333333333334,10,11,01,2871.1646525258884,728.6985006477767,0,2642.4744600346025,101.049188081,974.8760264943767,1795.2394379505117,23R/05L,1,0,6,3,1,0,0,3,2,0,0
02-Jan-2021_EZY26TW,arrival,3.933333333333333,11,10,02,1670.2932038764486,558.2364430303203,0,1068.6878774112427,71.1519727783,575.4407558091866,1023.700475288962,23R/05L,1,0,3,0,0,0,0,0,0,2,1
02-Jan-2021_DLH8RJ,arrival,5.4,11,11,02,2196.884715518782,662.0921454851332,0,1732.2059073941014,101.049188081,0,2095.835527437782,23R/05L,1,0,3,0,0,1,0,0,0,2,1
03-Jan-2021_DLH8RJ,arrival,3.966666666666667,10,10,03,1578.6215762831825,443.27170137521205,0,1338.187161006975,103.676652407,608.7054608738868,866.2394630022959,23R/05L,1,0,2,0,0,0,0,0,0,1,1
04-Jan-2021_DLH8RJ,arrival,6.583333333333333,11,10,04,2166.6408379218055,719.39179228881,0,1905.1558717533728,90.959777885,608.7054608738868,1466.9755991629186,23R/05L,1,0,2,0,0,0,0,0,0,0,1
06-Jan-2021_DLH8RJ,arrival,3.0833333333333335,10,10,06,1439.766804268122,616.5807960931643,0,1283.574914102575,104.571349969,608.7054608738868,726.4899934252353,,-1,0,5,0,0,0,0,0,0,3,2
08-Jan-2021_DLH8RJ,arrival,3.283333333333333,11,11,08,1162.4638500338015,400.4943894426626,0,930.0951502523243,103.676652407,0,1058.7871976268016,23R/05L,1,0,3,0,0,0,0,0,0,2,0
09-Jan-2021_DLH8RJ,arrival,8.083333333333334,11,10,09,2334.103334616954,507.7329279574773,0,2009.8692952934716,103.676652407,522.0348638206866,1708.3918183892674,23R/05L,1,0,3,0,0,0,1,0,0,1,1
